,start_urls
0,https://www.mediamarkt.de/de/category/_computer-b%C3%BCro-462723.html
1,https://www.mediamarkt.de/de/category/_tv-audio-460665.html
2,https://www.mediamarkt.de/de/category/_smartphone-tarife-464026.html
3,https://www.mediamarkt.de/de/category/_haushaltsgro%C3%9Fger%C3%A4te-662008.html
4,https://www.mediamarkt.de/de/category/_haushalt-bad-459508.html
5,https://www.mediamarkt.de/de/category/_smart-home-465013.html
6,https://www.mediamarkt.de/de/category/_heimwerken-garten-459519.html
7,https://www.mediamarkt.de/de/category/_foto-drohnen-464020.html
8,https://www.mediamarkt.de/de/category/_sport-freizeit-460083.html
9,https://www.mediamarkt.de/de/category/_spielzeug-baby-665523.html
10,https://www.mediamarkt.de/de/category/_gaming-vr-464513.html
11,https://www.mediamarkt.de/de/category/_film-musik-463451.html
12,https://www.mediamarkt.de/de/category/_prospekte-angebote-583019.html
13,https://www.mediamarkt.de/de/campaign/wsv.html
14,https://www.mediamarkt.de/de/shop/trends-und-themen/
15,https://www.mediamarkt.de/de/campaign/wsv.html
16,https://guthabenkarte.mediamarkt.de/
17,https://geschenkkarte.mediamarkt.de/?rbtc=md%7cili%7cnavigation%7c%7cb%7c%7c
18,https://fotoservice.mediamarkt.de/Start
19,https://www.mediamarkt.de/de/shop/neuerscheinungen/film.html
